Name,Price (in Roubles)
SVDS Gas tube,"9,240"
FN EFFEN 90 rail,"2,501"
"12/70 8.5 mm ""Magnum"" Buckshot",159
Magpul MBUS Gen.2 Rearsight FDE,"8,661"
Transformer Bag,"3,275"
Wooden stock for MP-133/153,"2,703"
Izhmash RPK-16 rail,"20,460"
Magpul MBUS Gen.2 Frontsight FDE,"8,293"
Glock Front Sight,"7,569"
Handguard SIG MPX Gen. 1 for MPX,"8,472"
"12/70 HP Slug ""SuperFormance""",218
PP-91-01 Kedr-B muzzle thread piece,"24,950"
Standard 9x19 15-round magazine for MP9,"15,549"
Key to HEP station storage,"105,620"
370mm barrel for AR-15 and compatible 5.56x45,"39,320"
VS-24 white handguard with a VS-33c gas block combo for AK,"37,031"
West wing room 222 key,"233,371"
AS VAL Dust cover,"5,287"
Technical documentation,"2,888"
ZMZ Polymer pistol grip for PP-91,"8,675"
Izhmash shoulder piece for AKMSN (6P4 Sb.1-19),"15,651"
EmerCom cap,"1,514"
Polymer SVDS handguard,"5,077"
Speedfeed short M870 forestock,"1,437"
Infantry Mosin rifle stock,"11,698"
Screwdriver,"1,999"
Izhmash AKM bakelite pistol grip,"4,811"
HK MP5 Kurz Upper receiver,"12,706"
Polymer AK-100 series foregrip,"2,187"
Izhmash 7.62x39 AK-103 muzzlebrake & compensator,"3,420"
9x18 mm PM 9 P gzh,21
Izhmash SV-98 bipod,"6,814"
Izhmash SV-98 Rearsight,"5,689"
Direct Thread adapter for the Lantac Blast mitigation device.,"50,887"
Noveske KX3 5.56x45 flashhider,"4,660"
10-round .308 M700 magazine,"5,884"
Izhmash SOK-12 rear sight,"11,185"
SR1MP quad rail mount,"17,769"
US Palm pistol grip for AK,"11,914"
Rearsight AR-15 Carry Handle,"4,153"
RB-KPRL key,"84,298"
Aimpoint mount for the sights of Micro series,"5,426"
Glock 9x19 Viper Cut slide,"7,318"
MP5 Kurz Cocking Handle,"61,250"
SI Advanced receiver extension buffer tube (black),"24,734"
SA XS Post .125 blade Frontsight M1A,"2,702"
"DS Arms ""Austrian Style"" 7.62x51 muzzle brake for SA-58","2,822"
Bars A-2607- Damascus,"2,169"
5.45x39 mm SP,96
NcStar MPR45 Backup mount,"15,218"
VPO-101 Gas tube,"16,687"
Molot 7.62x39 Vepr KM / VPO-136 muzzlebrake & compensator,"2,103"
East wing room 206 key,"185,324"
